time	V(n002)	I(C1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	5.000000e-09	5.000000e-04
1.999999943436137e-09	1.000000e-08	5.000000e-04
3.999999886872274e-09	2.000000e-08	5.000000e-04
7.999999773744548e-09	4.000000e-08	5.000000e-04
1.599999954748910e-08	8.000000e-08	5.000000e-04
3.199999909497819e-08	1.600000e-07	5.000000e-04
6.399999818995639e-08	3.200000e-07	5.000000e-04
1.279999963799128e-07	6.399999e-07	4.999999e-04
2.559999927598255e-07	1.280000e-06	4.999998e-04
5.119999855196511e-07	2.559999e-06	4.999997e-04
1.023999971039302e-06	5.119997e-06	4.999995e-04
2.047999942078604e-06	1.023999e-05	4.999990e-04
4.095999884157209e-06	2.047996e-05	4.999979e-04
8.191999768314417e-06	4.095983e-05	4.999959e-04
1.638399953662883e-05	8.191933e-05	4.999918e-04
3.276799907325767e-05	1.638373e-04	4.999836e-04
6.553599814651534e-05	3.276693e-04	4.999673e-04
1.310719962930307e-04	6.553170e-04	4.999345e-04
2.621439925860614e-04	1.310548e-03	4.998689e-04
5.242879851721227e-04	2.620753e-03	4.997379e-04
1.048575970344245e-03	5.240132e-03	4.994760e-04
2.097151940688491e-03	1.047477e-02	4.989525e-04
4.194303881376982e-03	2.092760e-02	4.979072e-04
8.388607762753963e-03	4.176764e-02	4.958232e-04
1.327142026275396e-02	6.591880e-02	4.934081e-04
1.815423276275396e-02	8.995232e-02	4.910048e-04
2.303704526275396e-02	1.138688e-01	4.886132e-04
2.791985776275396e-02	1.376687e-01	4.862331e-04
3.280267026275396e-02	1.613528e-01	4.838647e-04
3.768548276275396e-02	1.849214e-01	4.815079e-04
4.256829526275396e-02	2.083753e-01	4.791625e-04
4.745110776275396e-02	2.317149e-01	4.768285e-04
5.233392026275396e-02	2.549408e-01	4.745059e-04
5.721673276275396e-02	2.780536e-01	4.721946e-04
6.209954526275396e-02	3.010539e-01	4.698946e-04
6.698235776275396e-02	3.239421e-01	4.676058e-04
7.186517026275396e-02	3.467188e-01	4.653281e-04
7.674798276275396e-02	3.693846e-01	4.630616e-04
8.163079526275396e-02	3.919399e-01	4.608060e-04
8.651360776275396e-02	4.143854e-01	4.585615e-04
9.139642026275396e-02	4.367216e-01	4.563278e-04
9.627923276275396e-02	4.589489e-01	4.541051e-04
1.011620452627540e-01	4.810680e-01	4.518932e-04
1.060448577627540e-01	5.030794e-01	4.496921e-04
1.109276702627540e-01	5.249835e-01	4.475016e-04
1.158104827627540e-01	5.467810e-01	4.453219e-04
1.206932952627540e-01	5.684723e-01	4.431528e-04
1.255761077627540e-01	5.900578e-01	4.409942e-04
1.304589202627540e-01	6.115384e-01	4.388462e-04
1.353417327627540e-01	6.329142e-01	4.367086e-04
1.402245452627540e-01	6.541860e-01	4.345814e-04
1.451073577627540e-01	6.753541e-01	4.324646e-04
1.499901702627540e-01	6.964191e-01	4.303581e-04
1.548729827627540e-01	7.173815e-01	4.282618e-04
1.597557952627540e-01	7.382417e-01	4.261758e-04
1.646386077627540e-01	7.590004e-01	4.241000e-04
1.695214202627540e-01	7.796580e-01	4.220342e-04
1.744042327627540e-01	8.002149e-01	4.199785e-04
1.792870452627540e-01	8.206718e-01	4.179328e-04
1.841698577627540e-01	8.410289e-01	4.158971e-04
1.890526702627540e-01	8.612870e-01	4.138713e-04
1.939354827627540e-01	8.814463e-01	4.118554e-04
1.988182952627540e-01	9.015074e-01	4.098492e-04
2.037011077627540e-01	9.214709e-01	4.078529e-04
2.085839202627540e-01	9.413371e-01	4.058663e-04
2.134667327627540e-01	9.611065e-01	4.038893e-04
2.183495452627540e-01	9.807796e-01	4.019220e-04
2.232323577627540e-01	1.000357e+00	3.999643e-04
2.281151702627540e-01	1.019839e+00	3.980161e-04
2.329979827627540e-01	1.039226e+00	3.960774e-04
2.378807952627540e-01	1.058519e+00	3.941481e-04
2.427636077627540e-01	1.077717e+00	3.922283e-04
2.476464202627540e-01	1.096822e+00	3.903178e-04
2.525292327627540e-01	1.115834e+00	3.884165e-04
2.574120452627540e-01	1.134754e+00	3.865246e-04
2.622948577627540e-01	1.153581e+00	3.846419e-04
2.671776702627540e-01	1.172317e+00	3.827683e-04
2.720604827627540e-01	1.190961e+00	3.809039e-04
2.769432952627540e-01	1.209515e+00	3.790485e-04
2.818261077627540e-01	1.227978e+00	3.772022e-04
2.867089202627540e-01	1.246351e+00	3.753649e-04
2.915917327627540e-01	1.264635e+00	3.735365e-04
2.964745452627540e-01	1.282829e+00	3.717171e-04
3.013573577627540e-01	1.300935e+00	3.699065e-04
3.062401702627540e-01	1.318953e+00	3.681047e-04
3.111229827627540e-01	1.336883e+00	3.663117e-04
3.160057952627540e-01	1.354726e+00	3.645274e-04
3.208886077627540e-01	1.372482e+00	3.627518e-04
3.257714202627540e-01	1.390151e+00	3.609849e-04
3.306542327627540e-01	1.407735e+00	3.592265e-04
3.355370452627540e-01	1.425232e+00	3.574768e-04
3.404198577627540e-01	1.442645e+00	3.557355e-04
3.453026702627540e-01	1.459972e+00	3.540028e-04
3.501854827627540e-01	1.477215e+00	3.522785e-04
3.550682952627540e-01	1.494375e+00	3.505625e-04
3.599511077627540e-01	1.511450e+00	3.488550e-04
3.648339202627540e-01	1.528443e+00	3.471557e-04
3.697167327627540e-01	1.545352e+00	3.454648e-04
3.745995452627540e-01	1.562180e+00	3.437820e-04
3.794823577627540e-01	1.578925e+00	3.421075e-04
3.843651702627540e-01	1.595589e+00	3.404411e-04
3.892479827627540e-01	1.612171e+00	3.387828e-04
3.941307952627540e-01	1.628673e+00	3.371327e-04
3.990136077627540e-01	1.645095e+00	3.354905e-04
4.038964202627540e-01	1.661436e+00	3.338564e-04
4.087792327627540e-01	1.677698e+00	3.322302e-04
4.136620452627540e-01	1.693881e+00	3.306119e-04
4.185448577627540e-01	1.709985e+00	3.290015e-04
4.234276702627540e-01	1.726010e+00	3.273990e-04
4.283104827627540e-01	1.741957e+00	3.258043e-04
4.331932952627540e-01	1.757827e+00	3.242173e-04
4.380761077627540e-01	1.773619e+00	3.226381e-04
4.429589202627540e-01	1.789335e+00	3.210665e-04
4.478417327627540e-01	1.804974e+00	3.195026e-04
4.527245452627540e-01	1.820536e+00	3.179463e-04
4.576073577627540e-01	1.836023e+00	3.163977e-04
4.624901702627540e-01	1.851435e+00	3.148565e-04
4.673729827627540e-01	1.866771e+00	3.133229e-04
4.722557952627540e-01	1.882033e+00	3.117967e-04
4.771386077627540e-01	1.897220e+00	3.102780e-04
4.820214202627540e-01	1.912334e+00	3.087666e-04
4.869042327627540e-01	1.927374e+00	3.072626e-04
4.917870452627540e-01	1.942340e+00	3.057660e-04
4.966698577627540e-01	1.957234e+00	3.042766e-04
5.015526702627540e-01	1.972055e+00	3.027945e-04
5.064354827627540e-01	1.986804e+00	3.013196e-04
5.113182952627540e-01	2.001481e+00	2.998519e-04
5.162011077627540e-01	2.016086e+00	2.983914e-04
5.210839202627540e-01	2.030621e+00	2.969379e-04
5.259667327627540e-01	2.045084e+00	2.954916e-04
5.308495452627540e-01	2.059477e+00	2.940523e-04
5.357323577627540e-01	2.073801e+00	2.926200e-04
5.406151702627540e-01	2.088054e+00	2.911946e-04
5.454979827627540e-01	2.102238e+00	2.897762e-04
5.503807952627540e-01	2.116352e+00	2.883648e-04
5.552636077627540e-01	2.130398e+00	2.869602e-04
5.601464202627540e-01	2.144376e+00	2.855624e-04
5.650292327627540e-01	2.158286e+00	2.841715e-04
5.699120452627540e-01	2.172127e+00	2.827873e-04
5.747948577627540e-01	2.185902e+00	2.814098e-04
5.796776702627540e-01	2.199609e+00	2.800391e-04
5.845604827627540e-01	2.213249e+00	2.786751e-04
5.894432952627540e-01	2.226823e+00	2.773177e-04
5.943261077627540e-01	2.240331e+00	2.759669e-04
5.992089202627540e-01	2.253773e+00	2.746227e-04
6.040917327627540e-01	2.267150e+00	2.732850e-04
6.089745452627540e-01	2.280462e+00	2.719538e-04
6.138573577627540e-01	2.293708e+00	2.706292e-04
6.187401702627540e-01	2.306890e+00	2.693110e-04
6.236229827627540e-01	2.320008e+00	2.679992e-04
6.285057952627540e-01	2.333062e+00	2.666938e-04
6.333886077627540e-01	2.346053e+00	2.653947e-04
6.382714202627540e-01	2.358980e+00	2.641020e-04
6.431542327627540e-01	2.371844e+00	2.628156e-04
6.480370452627540e-01	2.384646e+00	2.615354e-04
6.529198577627540e-01	2.397385e+00	2.602615e-04
6.578026702627540e-01	2.410062e+00	2.589938e-04
6.626854827627540e-01	2.422677e+00	2.577323e-04
6.675682952627540e-01	2.435231e+00	2.564769e-04
6.724511077627540e-01	2.447724e+00	2.552276e-04
6.773339202627540e-01	2.460156e+00	2.539844e-04
6.822167327627540e-01	2.472528e+00	2.527473e-04
6.870995452627540e-01	2.484838e+00	2.515161e-04
6.919823577627540e-01	2.497090e+00	2.502910e-04
6.968651702627540e-01	2.509281e+00	2.490719e-04
7.017479827627540e-01	2.521413e+00	2.478587e-04
7.066307952627540e-01	2.533486e+00	2.466514e-04
7.115136077627540e-01	2.545501e+00	2.454499e-04
7.163964202627540e-01	2.557456e+00	2.442544e-04
7.212792327627540e-01	2.569354e+00	2.430646e-04
7.261620452627540e-01	2.581193e+00	2.418807e-04
7.310448577627540e-01	2.592975e+00	2.407025e-04
7.359276702627540e-01	2.604699e+00	2.395301e-04
7.408104827627540e-01	2.616367e+00	2.383633e-04
7.456932952627540e-01	2.627977e+00	2.372023e-04
7.505761077627540e-01	2.639531e+00	2.360469e-04
7.554589202627540e-01	2.651029e+00	2.348971e-04
7.603417327627540e-01	2.662470e+00	2.337530e-04
7.652245452627540e-01	2.673856e+00	2.326144e-04
7.701073577627540e-01	2.685187e+00	2.314813e-04
7.749901702627540e-01	2.696462e+00	2.303538e-04
7.798729827627540e-01	2.707682e+00	2.292318e-04
7.847557952627540e-01	2.718848e+00	2.281152e-04
7.896386077627540e-01	2.729959e+00	2.270041e-04
7.945214202627540e-01	2.741017e+00	2.258983e-04
